question_id,label,reason,is_correct,gold_rank,margin,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9
9772,1,correct_close,True,1,0.05,0.3,0.25,0.2,0.1,0.1,0.05,0.0,0.0,0.0,0.0
6516,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6820,0,correct_clear,True,1,0.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9270,0,correct_clear,True,1,0.4,0.6,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1779,0,correct_clear,True,1,0.666667,0.777778,0.111111,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8179,EXCLUDE,retrieval_miss,False,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4765,0,correct_clear,True,1,0.4,0.6,0.2,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0
8219,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3275,0,correct_clear,True,1,0.2,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11524,1,wrong_clear,False,2,0.2,0.5,0.3,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0
6786,0,correct_clear,True,1,0.2,0.5,0.3,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0
7183,0,correct_clear,True,1,0.8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3647,0,correct_clear,True,1,0.6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4582,EXCLUDE,retrieval_miss,False,,0.1,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11028,1,wrong_close,False,4,0.1,0.5,0.4,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
7414,0,correct_clear,True,1,0.4,0.6,0.2,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0
9847,0,correct_clear,True,1,0.7,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7787,1,correct_close,True,1,0.052631,0.315789,0.263158,0.263158,0.105263,0.052632,0.0,0.0,0.0,0.0,0.0
8285,1,wrong_clear,False,2,0.25,0.5,0.25,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0
4700,1,wrong_clear,False,8,0.3,0.5,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2724,0,correct_clear,True,1,0.7,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11189,0,correct_clear,True,1,0.6,0.7,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3741,0,correct_clear,True,1,0.3,0.5,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
9592,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,1,wrong_clear,False,2,0.222222,0.388889,0.166667,0.166667,0.111111,0.111111,0.055556,0.0,0.0,0.0,0.0
10898,0,correct_clear,True,1,0.8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030,0,correct_clear,True,1,0.2,0.4,0.2,0.15,0.15,0.1,0.0,0.0,0.0,0.0,0.0
6804,0,correct_clear,True,1,0.7,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001,0,correct_clear,True,1,0.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9775,1,wrong_close,False,5,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
11338,0,correct_clear,True,1,0.396039,0.594059,0.19802,0.09901,0.049505,0.009901,0.009901,0.009901,0.009901,0.009901,0.009901
4693,0,correct_clear,True,1,0.55,0.7,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
2079,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5340,0,correct_clear,True,1,0.4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4913,0,correct_clear,True,1,0.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9564,0,correct_clear,True,1,0.55,0.7,0.15,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5091,EXCLUDE,retrieval_miss,False,,0.2,0.35,0.15,0.15,0.15,0.15,0.05,0.0,0.0,0.0,0.0
1261,0,correct_clear,True,1,0.7,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,1,wrong_close,False,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7377,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10710,0,correct_clear,True,1,0.4,0.6,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
5112,1,wrong_close,False,2,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,1,wrong_close,False,2,0.0,0.25,0.25,0.2,0.15,0.15,0.0,0.0,0.0,0.0,0.0
11796,1,correct_close,True,1,0.133334,0.466667,0.333333,0.066667,0.066667,0.066667,0.0,0.0,0.0,0.0,0.0
1735,0,correct_clear,True,1,0.8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8811,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1826,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5731,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9055,1,correct_close,True,1,0.05,0.3,0.25,0.2,0.15,0.05,0.05,0.0,0.0,0.0,0.0
5603,1,wrong_clear,False,2,0.8,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6730,1,wrong_clear,False,2,0.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9884,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7477,0,correct_clear,True,1,0.7,0.8,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2553,0,correct_clear,True,1,0.6,0.7,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
7834,0,correct_clear,True,1,0.4,0.6,0.2,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0
11755,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1472,EXCLUDE,retrieval_miss,False,,0.055555,0.444444,0.388889,0.111111,0.055556,0.0,0.0,0.0,0.0,0.0,0.0
11116,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3199,0,correct_clear,True,1,0.15,0.5,0.35,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0
11296,1,correct_close,True,1,0.0,0.4,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
8273,1,wrong_close,False,3,0.1,0.4,0.3,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5799,EXCLUDE,retrieval_miss,False,,0.2,0.35,0.15,0.15,0.15,0.1,0.1,0.0,0.0,0.0,0.0
6028,0,correct_clear,True,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,1,wrong_close,False,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7725,1,wrong_close,False,2,0.05,0.4,0.35,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0
5526,0,correct_clear,True,1,0.5,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
