question_id,question,correct_db,top1_db,top1_score,top2_score,margin,top1_correct
8861,Return the number of flights arriving in Aberdeen.,flight_2,flight_company,0.5,0.5,0.0,False
503,Give the advisor with the most students.,allergy_1,pets_1,0.142857,0.142857,0.0,False
1653,What are all distinct country for artists?,theme_gallery,music_1,0.3,0.3,0.0,False
1402,What is the lowest salary in departments with average salary greater than the overall average.,college_2,company_1,0.45,0.45,0.0,False
8260,"return me the conferences, which have papers by "" H. V. Jagadish "" .",academic,aan_1,0.25,0.25,0.0,False
2425,list all female (sex is F) candidate names in the alphabetical order.,candidate_poll,voter_2,0.5,0.5,0.0,False
8903,Give the flight numbers of flights leaving from Aberdeen.,flight_2,flight_company,0.4,0.4,0.0,False
9823,What are the names and original air dates of tv shows?,tv_shows,tvshow,0.277778,0.277778,0.0,False
539,What are the top 5 countries by number of invoices and how many do they have?,store_1,customers_and_invoices,0.4,0.4,0.0,False
6877,What is the id of the most recent order?,tracking_orders,customers_and_orders,0.15,0.15,0.0,False
11355,Return the most common type of affiliation across all institutions.,institution_sports,university_rank,0.35,0.35,0.0,False
8119,Give me the papers written by Su-In Lee before 2012 .,scholar,aan_1,0.3,0.3,0.0,False
8854,How many flights depart from 'APG'?,flight_2,flight_4,0.5,0.5,0.0,False
2432,What are the names of all movies directed by Steven Spielberg?,movie_1,movie_1,0.25,0.25,0.0,True
5128,What are the different product names? What is the average product price for each of them?,cre_Drama_Workshop_Groups,manufactory_1,0.3,0.3,0.0,False
5651,Show the names of customers who have both an order in completed status and an order in part status.,customers_and_products_contacts,customers_and_addresses,0.18,0.18,0.0,False
6074,What are the names of customers who live in Colorado state?,customers_and_addresses,customers_and_products_contacts,0.25,0.25,0.0,False
9215,What is the average transcript date?,student_transcripts_tracking,student_transcripts_tracking,0.5,0.5,0.0,True
5649,Show the name of the customer who has the most orders.,customers_and_products_contacts,customers_and_orders,0.2,0.2,0.0,False
363,What is the number of employees?,flight_1,company_1,0.3,0.3,0.0,False
647,What are the names of all the tracks that are in both the Movies and music playlists?,store_1,chinook_1,0.5,0.5,0.0,False
5089,Count the number of customers recorded.,cre_Drama_Workshop_Groups,customers_and_products_contacts,0.2,0.2,0.0,False
9775,How many kinds of products have not been sold?,e_commerce,customers_and_orders,0.2,0.2,0.0,False
8393,"return me the conference, which have the most number of papers by "" H. V. Jagadish "" .",academic,scholar,0.333333,0.333333,0.0,False
613,What are the names of all the media types?,store_1,chinook_1,0.5,0.5,0.0,False
106,List the id of students who registered course statistics in the order of registration date.,student_assessment,student_assessment,0.4,0.4,0.0,True
5345,Which problem log was created most recently? Give me the log id.,tracking_software_problems,tracking_software_problems,0.5,0.5,0.0,True
5112,"Which city is the address of the store named ""FJA Filming"" located in?",cre_Drama_Workshop_Groups,store_product,0.4,0.4,0.0,False
3189,Find the description and credit for the course QM-261?,college_1,college_1,0.4,0.4,0.0,True
4761,What are id and name of the products whose price is lower than 600 or higher than 900?,department_store,customers_and_orders,0.2,0.2,0.0,False
1889,List the name of the school with the smallest enrollment.,school_finance,school_player,0.25,0.25,0.0,False
5868,Show the transaction type code that occurs the most frequently.,tracking_share_transactions,customers_card_transactions,0.5,0.5,0.0,False
11236,Find the first name and last name of a customer who visited on the earliest date.,bakery_1,customers_card_transactions,0.2,0.2,0.0,False
11296,List all the driver names in descending order of points.,car_racing,car_racing,0.4,0.4,0.0,True
8179,How many escape games are there in Madison ?,yelp,restaurants,0.5,0.5,0.0,False
9198,What's the name of the course with most number of enrollments?,student_transcripts_tracking,student_assessment,0.25,0.25,0.0,False
616,List the name of all playlist.,store_1,store_1,0.5,0.5,0.0,True
6676,Which country does customer with first name as Carole and last name as Bernhard lived in?,driving_school,driving_school,0.25,0.2,0.04999999999999999,True
10818,List all pilot names sorted by their ages in the descending order.,pilot_1,pilot_record,0.3,0.25,0.04999999999999999,False
5339,What is the name and price of the cheapest product?,manufactory_1,e_commerce,0.25,0.2,0.04999999999999999,False
2080,How many Annual Meeting events happened in the United Kingdom region?,party_people,party_people,0.25,0.2,0.04999999999999999,True
9772,What are the sizes of all products whose name includes the word 'Dell'?,e_commerce,e_commerce,0.3,0.25,0.04999999999999999,True
9055,What are the names of the people who teach math courses?,course_teach,course_teach,0.3,0.25,0.04999999999999999,True
8361,return me the citations of each paper in the VLDB conference .,academic,scholar,0.35,0.3,0.04999999999999999,False
3875,What is the total amount of payment?,insurance_policies,insurance_policies,0.3,0.25,0.04999999999999999,True
4420,Find the number of people who is under 40 for each gender.,network_2,voter_2,0.25,0.2,0.04999999999999999,False
10319,"Show the names of customers and names of dishes they order, in descending order of the quantity of dish.",restaurant_bills,restaurant_bills,0.3,0.25,0.04999999999999999,True
1019,Return the maximum enrollment across all schools.,university_basketball,school_player,0.3,0.25,0.04999999999999999,False
